section_id;registered_voters
040400032;699
040400033;712
040400034;705
040400035;849
040400036;701
040400037;597
040400038;673
040400039;619
040400040;709
040400041;672
040400042;704
040400043;658
040400044;754
040400045;450
040400046;499
040400047;583
040400048;660
040400049;740
040400050;584
040400051;807
040400052;848
040400053;571
040400054;739
040400055;568
040400056;635
040400057;587
040400058;836
040400059;954
040400060;767
040400061;798
040400062;965
040400063;821
040400064;892
040400065;637
040400066;547
040400067;859
040400068;469
040400069;463
040400070;688
040400071;872
040400072;695
040400073;738
040400074;668
040400075;470
040400076;723
040400077;563
040400078;703
040400079;624
040400080;397
040400081;738
040400082;59
040400083;608
040400084;810
040400085;875
040400086;376
040400087;365
040400088;491
040400089;631
040400090;554
040400091;470
040400092;504
040400095;662
040400096;582
040400097;146
040400098;242
040400099;256
040400100;235
040400101;259
040400102;485
040400103;304
040400104;470
040400105;264
040400106;450
040400107;391
040400108;391
040400109;239
040400110;191
040400111;714
040400112;411
040400113;42
040400114;90
040400115;59
040400116;408
040400117;342
040400118;79
040400119;48
040400120;669
040400121;623
040400122;665
040400123;585
040400124;608
040400125;264
040400126;410
040400127;165
040400128;603
040400129;270
040400130;719
040400131;585
040400132;654
040400133;132
040400134;139
040400135;64
040400137;46
040400138;59
040400139;61
040400140;55
040400141;172
040400142;31
040600002;744
040600004;467
040600005;630
040600006;600
040600007;525
040600008;605
040600009;620
040600010;668
040600011;680
040600012;618
040600013;749
040600014;574
040600015;715
040600016;648
040600018;617
040600019;554
040600020;582
040600021;574
040600022;599
040600024;342
040600025;588
040600026;831
040600028;749
040600029;627
040600030;528
040600031;765
040600032;734
040600033;612
040600035;593
040600036;674
040600037;609
040600038;736
040600039;680
040600041;602
040600042;766
040600043;640
040600045;655
040600046;747
040600050;792
040600051;707
040600052;593
040600053;704
040600054;654
040600058;456
040600059;646
040600060;638
040600061;839
040600063;797
040600065;775
040600066;673
040600067;569
040600068;515
040600069;651
040600070;642
040600071;850
040600072;293
040600073;547
040600074;740
040600075;619
040600076;598
040600077;218
040600078;85
040600079;432
040600081;91
040600082;277
041300001;790
041300002;807
041300003;858
041300004;721
041300005;641
041300006;857
041300010;283
041300011;51
041300012;42
041300013;86
041300015;47
041300016;73
041300017;171
041300018;941
041300019;50
041300020;971
041300021;83
041300022;35
041300023;121
041300024;92
041300025;65
041300026;48
041300027;59
041300028;37
041300029;58
041400001;755
041400002;833
041400003;584
041400004;370
041400005;415
041400006;62
041400007;59
041400008;47
041400009;119
041400010;86
041400011;107
041400012;40
041400013;40
042000001;552
042000002;712
042000003;649
042000005;716
042000006;734
042000007;931
042000009;706
042000010;781
042000011;567
042000012;642
042000014;581
042000015;406
042000016;680
042000018;852
042000019;716
042000020;637
042200001;577
042200002;607
042200003;443
042200004;550
042200005;426
042200006;667
042200007;753
042200008;465
042200009;647
042200010;629
042200011;887
042200012;552
042200013;553
042200014;583
042200016;596
042200017;574
042200021;660
042200022;601
042200023;711
042200024;653
042200025;828
042200026;207
042200027;672
042200028;439
042200029;311
042200030;441
042200031;264
042200032;301
042200033;711
042200035;326
042200036;454
042200037;114
042200038;402
042200039;679
042200040;103
042200041;328
042200042;113
042200043;237
042200044;584
042600001;841
042600002;712
042600003;758
042600004;898
042600005;777
042600006;652
042600007;689
042600008;415
042600009;198
042600010;377
042600011;95
042600012;459
042600013;303
042600014;403
042600015;132
042600016;513
042600017;642
042600018;618
042600019;718
042600020;460
042600021;595
042800001;647
042800002;432
042800003;468
042800005;615
042800006;434
042800007;669
042800009;689
042800010;555
042800011;535
042800012;514
042800013;471
042800014;389
042800016;530
042800017;748
042800018;618
042800019;496
042800020;676
042800021;728
042800022;597
042800023;620
042800024;624
042800025;498
042800026;582
042800030;75
042800031;738
042800032;613
042800033;521
042800034;1095
042800035;703
042800041;414
042800044;139
042800047;898
042800050;763
042800053;298
042800056;94
042800058;454
042800062;975
042800065;787
042800069;517
042800070;577
042800073;647
042800074;562
042800078;203
042800080;523
042800083;900
042800086;218
042800087;723
042800088;528
042800089;535
042800090;760
043100001;767
043100002;762
043100003;870
043100004;1032
043100005;885
043100006;587
043100007;355
043100008;80
043100009;335
043100010;571
043100011;219
043100012;211
043100013;579
043100014;666
043100015;604
043100016;592
043100018;31
043100019;253
043100020;122
043100021;40
043100022;149
043100023;70
043100026;525
043100030;580
043200001;491
043200002;582
043200003;503
043200004;64
043200005;47
043200006;143
043200007;83
043200008;78
050100001;512
050100002;410
050100003;434
050100004;340
050100005;484
050100006;674
050100007;696
050100008;889
050100009;76
050100010;74
050100011;182
050100012;27
050100013;60
050100014;101
050100015;27
050100016;35
050100017;102
050100018;37
050100019;54
050300001;316
050300002;81
050300003;59
050300004;20
050300005;251
050600001;525
050600002;465
050600003;449
050600004;454
050600005;312
050600006;89
050600007;508
050600008;238
